user_id,part_one_time,part_two_time,overall_time,part_one_artwork_time_m,part_one_artwork_time_std,part_two_artwork_time_m,part_two_artwork_time_std,num_artworks_part_one,num_artworks_part_two,total_events,num_revisits_part_one,num_revisits_part_two,num_visited_before_first_choice_part_one,time_before_first_choice_part_one,num_visited_before_first_choice_part_two,time_before_first_selection_part_two,show_more_part_one,artwork_selected_part_one,artwork_deselected_part_one,show_more_part_two,artwork_selected_part_two,artwork_deselected_part_two
6737f57f-8646-4c03-9546-8da5a719d226,1.9,1.75,3.65,1.4,0.49,1.682,1.742,32,27,59,0,1,1,0.0,0,0.0,0,32,0,0,27,0
86b266c0-920c-4e83-802d-0083a06f3f1d,1.233,0.667,1.9,1.938,0.428,2.375,0.484,20,10,30,0,0,1,0.017,1,0.017,0,20,0,0,10,0
62b14681-8d4a-44b5-a201-942bba9b4bd8,13.083,8.683,21.767,16.812,29.92,6.289,4.084,31,41,76,1,0,1,0.767,4,0.6,24,25,0,12,15,0
09cf0e31-cf99-47f3-906f-8da336f23f73,10.267,4.517,14.783,6.778,3.292,6.333,0.943,25,18,77,0,0,1,0.033,0,0.017,24,23,0,15,15,0
27405dfe-adee-47e8-b002-818e61c5c552,21.25,6.017,27.267,19.324,60.547,6.47,19.054,105,53,76,22,6,2,0.567,2,0.1,38,21,0,2,15,0
c2252483-1049-4965-b569-b02ad21fdfe3,6.517,4.317,10.833,3.769,2.292,4.08,3.959,42,26,47,1,0,2,0.367,1,0.017,0,28,0,0,19,0
eff7dbbd-c503-45b5-b9ea-d6591880a3d0,5.217,2.1,7.317,4.542,3.582,3.6,0.917,25,15,72,1,0,1,0.15,1,0.033,15,25,2,15,15,0
d0b29671-3f6d-4cc1-a6cc-86f0bd462d60,5.333,2.65,7.983,5.459,11.417,2.714,1.314,35,26,60,4,0,1,0.017,1,0.017,3,32,0,0,25,0
f2a8b708-4e17-481d-bfcb-5daf33316d37,4.3,3.217,7.517,3.27,1.287,3.409,1.642,34,25,58,2,0,1,0.033,1,0.017,0,32,0,1,25,0
3b55c9c3-ec80-48ac-86a3-a6a4c96ce432,6.983,4.5,11.483,2.73,1.266,2.25,0.924,37,28,62,0,0,2,0.183,1,0.033,0,34,0,0,28,0
c20f5c3d-8400-455b-9874-46d2d9696cf9,11.4,7.183,18.583,14.69,55.751,4.281,2.375,38,30,57,2,1,1,0.133,1,0.033,0,32,0,0,25,0
d105d04e-aeaf-4abf-a93a-d00e339da603,8.3,5.983,14.283,4.792,7.81,6.712,12.026,61,40,65,7,9,1,0.05,2,0.167,0,39,0,0,26,0
7f885519-d695-4204-ad6b-7f3ef14256c6,5.467,2.817,8.283,2.633,2.81,1.696,0.547,46,33,80,1,0,0,0.0,0,0.0,1,46,1,0,32,0
bf907f9b-6b95-4991-a195-395fc1bcff06,8.817,5.283,14.1,8.277,30.995,8.121,14.272,54,33,57,2,6,1,0.183,5,0.533,1,31,0,0,25,0
9505d0f2-8ad8-4cc5-b388-6eac696641d6,5.65,4.35,10.0,3.688,1.758,2.778,1.181,29,26,56,0,0,0,0.0,1,0.017,1,30,0,0,25,0
b6cc0f30-e378-44c8-afa5-8764d942d8d0,10.033,5.65,15.683,3.111,2.514,3.0,1.225,35,28,63,0,0,0,0.6,0,0.0,5,33,0,0,25,0
a8a4ac60-632f-4330-b804-47832eb4707d,12.017,4.283,16.3,4.0,0.0,4.0,0.0,41,26,73,0,0,0,0.483,0,0.0,7,41,0,0,25,0
6e90b335-2cd9-4337-ab1b-d66200c696a2,5.3,4.633,9.933,4.607,1.543,3.759,3.036,32,32,67,0,0,1,0.05,1,0.033,3,32,0,0,32,0
ffe938cf-2ed4-442b-aa15-680eb0d36942,6.883,5.783,12.667,3.385,1.883,2.526,0.819,31,25,57,0,0,1,0.083,1,0.017,1,31,0,0,25,0
fb5824e1-a5fb-4428-a62a-6d391dc11fdc,7.917,5.017,12.933,3.273,1.42,4.5,1.658,32,26,81,0,0,1,0.317,0,0.0,9,33,0,14,25,0
5a22bdf7-fc3c-44aa-ae8b-d0176bf98472,10.233,5.667,15.9,10.653,32.556,3.489,2.378,70,50,95,4,1,1,0.05,2,0.1,0,55,0,0,40,0
b5b3eafa-8987-418a-ab61-1724bec97902,15.15,11.1,26.25,24.03,72.18,5.042,2.051,39,29,61,2,0,1,0.067,1,0.017,1,35,0,0,25,0
c6b46831-4b2e-44b5-8123-04fded93b5c7,18.483,10.133,28.617,19.991,45.421,3.574,1.317,83,51,67,18,0,15,2.633,1,0.067,2,34,0,0,31,0
6a8e7e73-64e3-40ff-818b-74caabc73b67,129.033,895.183,1024.217,6.207,3.671,6.821,12.459,37,34,56,3,1,1,0.05,1,0.033,1,30,0,0,25,0
366226f1-7932-429c-9044-402d9b4f06f3,33.083,23.4,56.483,33.0,0.0,22.0,0.0,35,33,119,0,0,1,0.5,0,0.367,32,31,0,28,28,0
9c3b8942-91e3-4b3a-9638-cf4d566e9f8b,25.933,12.567,38.5,116.714,234.431,5.75,1.479,44,30,117,2,0,0,0.0,0,0.0,35,31,0,26,25,0
e5891876-51d7-4192-9cbf-9dbf1df3c84f,8.083,4.25,12.333,21.515,51.327,3.15,0.792,36,25,55,4,0,10,1.533,1,0.033,0,30,0,0,25,0
2156a1c5-0e40-40b2-b8e3-24e8ae561b71,13.567,9.033,22.6,14.828,28.613,6.154,2.088,31,28,56,2,0,3,1.533,1,0.05,1,30,0,0,25,0
89ed5d14-c0b1-4807-a0ac-b7f02738edd7,3.917,2.9,6.817,4.929,14.26,2.208,0.406,32,30,62,2,0,1,0.017,1,0.017,0,34,0,0,28,0
90ef3aff-e2dd-459e-a4b6-179144ec6660,42.1,14.933,57.033,89.119,230.336,12.545,22.057,101,53,60,24,4,3,0.75,5,0.733,7,31,2,0,20,0
bc2eaa84-cb72-4c19-8bed-97caffd1f461,8.817,4.583,13.4,22.538,66.94,1.941,0.416,34,36,70,1,0,1,0.133,0,0.0,1,35,0,0,34,0
80099cf6-848d-425d-8187-36fc9bae4b99,20.417,13.367,33.783,6.714,4.463,4.0,1.633,58,48,59,0,1,0,0.0,0,0.0,0,32,0,0,27,0
8fec189f-ba0f-4221-8b45-d076b68b467c,9.05,5.217,14.267,,,,,30,25,59,2,1,1,0.083,1,0.017,2,30,0,2,25,0
a3bcbf13-f5e9-4ccd-8fef-ddbe03ee2678,9.917,8.783,18.7,2.5,0.5,6.744,15.525,48,56,73,0,5,0,0.0,0,0.0,0,37,0,0,36,0
c24a2686-e364-4b56-adeb-11aaa5d45a3a,12.267,7.283,19.55,3.0,0.0,3.6,1.855,30,32,56,0,0,0,0.267,0,0.0,1,30,0,0,25,0
3d8df22d-0138-4fe8-91a1-5b97280f0638,24.05,17.967,42.017,22.389,69.89,4.92,3.797,83,87,73,6,2,1,0.1,1,0.067,1,36,0,0,34,2
baf72af8-699c-4c3f-8e1f-a3521dbfd108,25.567,15.117,40.683,22.548,81.275,4.474,1.743,47,43,61,3,0,1,0.133,1,0.033,4,31,1,0,25,0
aa203867-c719-4c0a-9949-d4e62af4add1,7.7,5.483,13.183,14.452,43.767,3.6,0.748,30,25,63,1,0,1,0.183,1,0.033,7,31,0,0,25,0
815c23de-2677-4c99-9637-5b577bc9e56e,26.717,25.017,51.733,26.893,108.065,29.474,81.761,76,83,59,7,8,2,0.767,8,2.267,0,31,1,2,25,0
f22d9886-6c1a-47ef-acb0-097d86e72dc8,13.85,1.633,15.483,7.688,3.745,6.0,1.414,38,6,36,0,0,1,0.1,1,0.05,0,31,0,0,5,0
adf487ff-fe01-4415-a0b6-e4b6a029e285,10.383,7.9,18.283,5.759,5.015,3.607,0.9,32,33,67,0,0,1,0.333,1,0.05,2,32,0,0,33,0
0b5c4edc-b1b2-4d3b-b683-197c5cefaa7a,19.767,12.733,32.5,4.667,1.886,2.857,0.639,56,52,64,0,0,0,1.433,0,0.0,1,35,0,0,28,0
1d229d3c-a3dc-49f1-9e65-b5d2010dc030,28.5,20.283,48.783,8.667,3.3,6.75,2.742,57,69,61,0,0,0,0.0,0,0.0,0,31,0,0,30,0
10c7e279-1584-44e4-bb62-cd2ba0a1902a,12.667,8.883,21.55,11.593,14.923,10.353,2.806,33,26,58,1,0,0,0.0,0,0.0,0,31,0,2,25,0
b469ad05-df69-4b4f-96b0-3a29a62d1ad1,6.017,4.783,10.8,2.771,1.758,2.88,0.909,33,26,60,1,0,1,0.067,1,0.0,0,33,1,1,25,0
5011a62d-93b2-4c0f-9bcd-2d887cd9845e,9.583,7.05,16.633,2.707,0.89,2.195,0.889,49,45,80,0,1,1,0.033,1,0.017,0,42,1,0,37,0
8042e8a6-4ab6-4456-b506-055a345cbf88,12.233,7.75,19.983,11.288,47.648,3.417,1.367,51,48,93,1,0,1,0.1,1,0.033,1,47,0,0,45,0
0d7948d0-9be8-4715-9376-0960a44fb066,6.5,4.15,10.65,3.45,1.023,3.92,1.412,41,33,68,0,0,0,0.0,0,0.0,0,35,0,0,33,0
d2a21c8f-ff43-4d7c-9324-9bc4c56c5071,6.25,3.333,9.583,2.667,0.83,2.269,0.592,30,26,55,0,0,1,0.033,1,0.0,0,30,0,0,25,0
23212487-a344-4197-82b5-abd9af61250e,15.833,12.35,28.183,9.478,18.869,6.424,7.024,44,35,116,1,0,1,0.083,1,0.133,26,43,0,13,34,0
115e2fc2-770b-46f7-99d1-66977b1d168b,20.567,6.1,26.667,2.509,1.11,2.328,1.665,54,57,71,0,4,1,0.033,1,0.017,0,34,0,0,37,0
07dcbbce-eba3-420e-b507-684bf3dcdc5a,8.167,4.883,13.05,3.6,1.2,3.286,1.03,43,32,74,0,0,0,0.0,0,0.0,2,42,0,0,30,0
be3bee08-4164-4663-a39e-5be22ea75f7a,7.2,0.983,8.183,3.71,1.197,3.2,0.4,32,5,35,0,0,1,0.05,1,0.017,0,30,0,0,5,0
b1488221-cde4-4236-811b-082ffc2948dc,12.117,0.067,12.183,10.522,28.834,4.0,0.0,61,1,38,7,0,6,0.733,1,0.033,1,36,0,0,1,0
6ddb66ac-1c12-4a80-b2ca-195f54b1898a,26.283,11.2,37.483,8.033,20.827,5.0,14.671,88,71,108,7,2,0,7.517,4,0.5,2,56,1,0,49,0
d415488e-7361-498c-a6c0-6cfea6161864,7.867,3.383,11.25,8.895,13.864,3.824,0.984,31,25,62,1,0,1,0.267,0,0.0,6,31,0,0,25,0
c142b88b-7b45-4684-b0d2-b2253684bf1c,7.233,4.067,11.3,13.429,46.764,2.607,0.859,41,33,60,2,0,0,0.0,0,0.0,0,32,0,0,28,0
e4d4c405-d8d7-428c-8e48-93b9dee9843e,19.817,8.667,28.483,29.696,115.133,6.556,13.849,43,35,56,2,1,1,0.067,1,0.05,1,30,0,0,25,0
80ca297e-0b16-413d-bc82-a5acf2535abd,20.5,4.433,24.933,63.536,214.397,3.0,1.595,33,27,77,1,0,1,0.017,1,0.067,16,33,1,2,25,0
64732fc3-be1a-4999-a392-4d3ddfe96d22,8.25,4.383,12.633,2.4,1.02,1.875,0.331,29,25,57,0,0,0,0.0,0,0.0,2,30,0,0,25,0
0b138505-a994-45cb-acd5-759bf801cb4c,16.0,9.433,25.433,6.4,2.245,4.0,0.816,32,25,83,0,0,0,0.117,0,0.0,26,31,0,1,25,0
e5831835-a71d-46a7-b12f-90af137ac12e,10.383,6.25,16.633,11.457,36.486,4.25,0.595,36,29,57,1,0,1,0.067,1,0.05,0,31,0,0,26,0
d02ddeb5-1b24-4a00-b085-ea9a06bfec40,97.633,25.75,123.383,13.6,10.48,73.0,153.247,117,60,216,5,0,32,8.6,0,0.0,100,35,0,69,11,1
c5281306-a2bf-48a6-8919-6cf39a307dec,14.483,8.433,22.917,27.63,92.658,6.542,1.154,30,27,59,1,1,2,1.483,1,0.067,3,30,0,0,26,0
20732fa8-a880-4cc1-bd4a-f52b14f35f38,9.133,4.433,13.567,10.194,18.023,3.875,2.666,30,30,62,2,1,2,0.9,1,0.017,2,30,0,0,30,0
9a5b8f10-b36d-40d3-9e30-fcee66fc966d,13.033,13.167,26.2,13.854,39.433,12.621,22.261,35,46,66,3,6,1,0.1,1,0.033,0,31,0,0,34,1
347fd0eb-94fe-4adb-8bf3-eb5069233fef,11.817,7.467,19.283,4.0,1.0,4.0,0.816,32,33,62,0,0,0,0.183,0,0.0,4,31,2,0,25,0
7331c377-a48f-4dae-8e93-b916d17b7f79,10.1,3.85,13.95,16.469,70.517,3.071,1.412,32,28,63,1,0,1,0.017,1,0.017,2,33,0,0,28,0
17d0240d-8071-4a5f-88b6-3a45f7911c8d,10.35,4.017,14.367,10.76,30.139,2.207,1.126,47,30,75,3,0,6,1.567,1,0.017,11,32,0,3,29,0
6b7719c7-74ca-4a0f-bda1-2141c0075a81,9.8,6.217,16.017,4.471,10.158,2.043,1.083,58,50,103,1,0,0,0.0,0,0.0,0,53,0,0,50,0
9777fed5-274b-47e1-a777-34dc485fc70e,10.7,7.233,17.933,8.719,5.287,9.37,11.795,38,30,106,0,1,2,0.267,1,0.1,25,30,0,26,25,0
fe3d02cd-3066-43f5-9a80-5b8766e81a9d,13.617,11.883,25.5,6.056,11.745,4.0,2.53,42,43,57,3,0,0,0.0,0,0.0,2,30,0,0,25,0
29687d07-fff2-4ccf-82ad-327f9bb8ecda,4.133,2.65,6.783,1.333,0.699,1.0,0.0,30,25,56,0,0,1,0.017,1,0.0,1,30,0,0,25,0
ea988d2f-2768-478c-b2cc-9dad91d31705,7.65,3.4,11.05,5.513,7.841,3.917,1.913,44,27,63,2,1,4,0.483,1,0.017,5,30,0,2,26,0
8d56ee6b-c79f-41e8-9050-d93e50b122db,10.0,3.583,13.583,10.81,21.282,4.565,1.21,32,29,63,0,0,2,0.467,1,0.05,1,31,5,0,25,1
b1484bd0-1ea5-42bc-ab87-6d32a6a05154,9.683,4.2,13.883,10.931,20.062,4.35,1.526,31,25,61,2,0,3,0.617,1,0.017,6,30,0,0,25,0
4388018c-d679-4187-8367-b90acadb6eac,7.667,4.6,12.267,2.333,0.713,2.818,1.113,42,31,64,0,0,0,0.0,0,0.0,4,34,0,1,25,0
4003e409-0690-4829-be3b-805bbe0a4240,30.067,10.667,40.733,65.07,239.022,5.378,2.071,75,42,67,9,0,2,1.75,1,0.067,6,30,0,0,31,0
